date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:24	1772/1772	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Apr%202020%2017:04:24%20GMT	http://eliteadmin.themedesigner.in/robots.txt		(from )
12:04:25	103762/103762	---M--	200	added ('OK')	text/html	etag:%2219552-598c905429a85%22	http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/colors/index.html	(from )
12:04:26	1347/1347	---M--	200	added ('OK')	image/png	etag:%22543-583162e7b0a90%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/assets/images/favicon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html)
12:04:26	540/540	---M-Z	200	added ('OK')	text/css	etag:%2221c-583162e7f63d6-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/morrisjs/morris.css	(from http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html)
12:04:27	4910/4910	---M-Z	200	added ('OK')	text/css	etag:%22132e-583162e80427e-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/toast-master/css/jquery.toast.css	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/assets/node_modules/toast-master/css/jquery.toast.css	(from http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html)
12:04:29	422/422	---M-Z	200	added ('OK')	text/css	etag:%221a6-583162e80ea76-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/colors/dist/css/pages/dashboard1.css	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/colors/dist/css/pages/dashboard1.css	(from http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html)
12:04:29	1980/1980	---M--	200	added ('OK')	image/png	etag:%227bc-583162e7b1e18%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-icon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html)
12:04:30	1785/1785	---M--	200	added ('OK')	image/png	etag:%226f9-583162e7b1e18%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-icon.png	(from http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html)
12:04:31	597834/597834	---MCZ	200	added ('OK')	text/css	etag:%2291f4a-598c905425c05-gzip%22	http://eliteadmin.themedesigner.in/demos/bt4/colors/dist/css/style.min.css	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/colors/dist/css/style.min.css	(from http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html)
12:04:32	1629/1629	---M--	200	added ('OK')	image/png	etag:%2265d-583162e7b1e18%22	http://eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-text.png	C:/Mis%20lugares%20Web/negocio/eliteadmin.themedesigner.in/demos/bt4/assets/images/logo-light-text.png	(from http://eliteadmin.themedesigner.in/demos/bt4/colors/index.html)
